Date,Time,Subject,Experiment,Tcnt,Cued,FlightTm,ResponseTm,Outcome,RfPosX,RfPosY,RfPrefOri,RfSize,FixSpotShape,FixSpotColor,FixSpotSize,FixSpotFixWin,FixSpotWaitTm,RingPosX,RingPosY,RingSize,RingWeight,CueRingDelta,BaseRingDelta,RingFlashTm,RingWaitTm,GaborOffset,GaborTF,GaborSF,GaborContrast,GaborSize,GaborOri,GaborFixWinSize,GaborWaitTm,TargPosX,TargPosY,TargChange,TargNewOri,Dis1PosX,Dis1PosY,Dis2PosX,Dis2PosY,Dis3PosX,Dis3PosY,ResponseWin,RewardDur,VPixx2ScreenDis,Screen2MonkeyDis,EyeCam2MonkeyDis
2025_08_13,15:41:48:788,dingo,AttendGrat,1,1,,,Miss,7.5,-0.5,270,2.25,rect,green,0.25,1.75,0.9016664,7.5,-0.5,2.75,0.3,10,1,0.2,1.25,8,5,1.5,0.8,2.25,-70,4,1.798347,-0.5486642,7.496597,6,-64,-7.496597,-0.5486642,7.496597,0.5486642,0.5486642,-7.496597,0.4,0.15,60,25,18
2025_08_13,15:41:57:843,dingo,AttendGrat,2,1,0.03510094,0.2771666,Correct,7.5,-0.5,270,2.25,rect,green,0.25,1.75,1.282788,7.5,-0.5,2.75,0.3,10,1,0.2,1.25,8,5,1.5,0.8,2.25,-70,4,2.059789,-0.5486642,7.496597,24,-46,7.496597,0.5486642,0.5486642,-7.496597,-7.496597,-0.5486642,0.4,0.15,60,25,18
2025_08_13,15:42:04:635,dingo,AttendGrat,3,1,0.05969691,0.2773576,Correct,7.5,-0.5,270,2.25,rect,green,0.25,1.75,1.39858,7.5,-0.5,2.75,0.3,10,1,0.2,1.25,8,5,1.5,0.8,2.25,-130,4,1.5344,2.547911,7.071644,24,-106,-7.071644,2.547911,7.071644,-2.547911,-2.547911,-7.071644,0.4,0.15,60,25,18
2025_08_13,15:42:11:328,dingo,AttendGrat,4,0,,,Miss,7.5,-0.5,270,2.25,rect,green,0.25,1.75,0.9210343,7.5,-0.5,2.75,0.3,10,1,0.2,1.25,8,5,1.5,0.8,2.25,-90,4,1.272583,7.347281,1.586649,48,-42,-1.586649,7.347281,-7.347281,-1.586649,1.586649,-7.347281,0.4,0.15,60,25,18
2025_08_13,15:42:20:001,dingo,AttendGrat,5,1,0.05572891,0.2604609,Correct,7.5,-0.5,270,2.25,rect,green,0.25,1.75,1.205027,7.5,-0.5,2.75,0.3,10,1,0.2,1.25,8,5,1.5,0.8,2.25,-110,4,2.910771,0.5486642,-7.496597,48,-62,-0.5486642,7.496597,-7.496597,-0.5486642,7.496597,0.5486642,0.4,0.15,60,25,18
2025_08_13,15:42:27:945,dingo,AttendGrat,6,1,,,Miss,7.5,-0.5,270,2.25,rect,green,0.25,1.75,1.104358,7.5,-0.5,2.75,0.3,10,1,0.2,1.25,8,5,1.5,0.8,2.25,-110,4,1.900245,7.071644,-2.547911,12,-98,2.547911,7.071644,-7.071644,2.547911,-2.547911,-7.071644,0.4,0.15,60,25,18
2025_08_13,15:42:37:765,dingo,AttendGrat,7,1,,,Miss,7.5,-0.5,270,2.25,rect,green,0.25,1.75,1.132837,7.5,-0.5,2.75,0.3,10,1,0.2,1.25,8,5,1.5,0.8,2.25,-110,4,3.047011,7.071644,-2.547911,48,-62,-7.071644,2.547911,2.547911,7.071644,-2.547911,-7.071644,0.4,0.15,60,25,18
2025_08_13,15:42:48:853,dingo,AttendGrat,8,1,0.04942894,0.2435608,Correct,7.5,-0.5,270,2.25,rect,green,0.25,1.75,1.004644,7.5,-0.5,2.75,0.3,10,1,0.2,1.25,8,5,1.5,0.8,2.25,-110,4,2.601325,7.071644,-2.547911,48,-62,-2.547911,-7.071644,2.547911,7.071644,-7.071644,2.547911,0.4,0.15,60,25,18
2025_08_13,15:42:56:221,dingo,AttendGrat,9,1,0.05583787,0.3101306,Correct,7.5,-0.5,270,2.25,rect,green,0.25,1.75,1.288707,7.5,-0.5,2.75,0.3,10,1,0.2,1.25,8,5,1.5,0.8,2.25,-110,4,2.505918,-7.071644,2.547911,24,-86,7.071644,-2.547911,-2.547911,-7.071644,2.547911,7.071644,0.4,0.15,60,25,18
2025_08_13,15:43:03:587,dingo,AttendGrat,10,1,0.05633378,0.2770796,Correct,7.5,-0.5,270,2.25,rect,green,0.25,1.75,1.268514,7.5,-0.5,2.75,0.3,10,1,0.2,1.25,8,5,1.5,0.8,2.25,-90,4,1.31726,7.357424,-1.538932,48,-42,1.538932,7.357424,-7.357424,1.538932,-1.538932,-7.357424,0.4,0.15,60,25,18
2025_08_13,15:43:09:624,dingo,AttendGrat,11,1,0.06839204,0.3437521,Correct,7.5,-0.5,270,2.25,rect,green,0.25,1.75,0.9024858,7.5,-0.5,2.75,0.3,10,1,0.2,1.25,8,5,1.5,0.8,2.25,-130,4,2.168958,-2.547911,-7.071644,12,-118,-7.071644,2.547911,2.547911,7.071644,7.071644,-2.547911,0.4,0.15,60,25,18
2025_08_13,15:43:16:613,dingo,AttendGrat,12,1,0.04804206,0.2770576,Correct,7.5,-0.5,270,2.25,rect,green,0.25,1.75,1.207693,7.5,-0.5,2.75,0.3,10,1,0.2,1.25,8,5,1.5,0.8,2.25,-130,4,1.642433,0.5,7.5,12,-118,-7.5,0.5,-0.5,-7.5,7.5,-0.5,0.4,0.15,60,25,18
2025_08_13,15:43:23:028,dingo,AttendGrat,13,1,,,Correct,7.5,-0.5,270,2.25,rect,green,0.25,1.75,1.423678,7.5,-0.5,2.75,0.3,10,1,0.2,1.25,8,5,1.5,0.8,2.25,-110,4,3.010291,1.538932,7.357424,0,-110,-1.538932,-7.357424,7.357424,-1.538932,-7.357424,1.538932,0.4,0.15,60,25,18
2025_08_13,15:43:31:248,dingo,AttendGrat,14,1,,,Miss,7.5,-0.5,270,2.25,rect,green,0.25,1.75,0.9249739,7.5,-0.5,2.75,0.3,10,1,0.2,1.25,8,5,1.5,0.8,2.25,-110,4,1.445493,1.538932,7.357424,48,-62,-1.538932,-7.357424,-7.357424,1.538932,7.357424,-1.538932,0.4,0.15,60,25,18
2025_08_13,15:43:40:462,dingo,AttendGrat,15,1,0.06038213,0.4101517,Correct,7.5,-0.5,270,2.25,rect,green,0.25,1.75,1.258782,7.5,-0.5,2.75,0.3,10,1,0.2,1.25,8,5,1.5,0.8,2.25,-110,4,3.235322,1.538932,7.357424,24,-86,7.357424,-1.538932,-7.357424,1.538932,-1.538932,-7.357424,0.4,0.15,60,25,18
2025_08_13,15:43:54:366,dingo,AttendGrat,17,1,0.03507996,0.2100847,Correct,7.5,-0.5,270,2.25,rect,green,0.25,1.75,1.203023,7.5,-0.5,2.75,0.3,10,1,0.2,1.25,8,5,1.5,0.8,2.25,-70,4,3.132884,-1.586649,7.347281,48,-22,1.586649,-7.347281,-7.347281,-1.586649,7.347281,1.586649,0.4,0.15,60,25,18
2025_08_13,15:44:02:050,dingo,AttendGrat,18,0,0.03611112,0.2603672,Correct,7.5,-0.5,270,2.25,rect,green,0.25,1.75,1.307925,7.5,-0.5,2.75,0.3,10,1,0.2,1.25,8,5,1.5,0.8,2.25,-70,4,1.377297,-7.347281,-1.586649,24,-46,1.586649,-7.347281,-1.586649,7.347281,7.347281,1.586649,0.4,0.15,60,25,18
